EventID,EventName,Year
65206,DGPT - Las Vegas Challenge presented by Innova,2023
66457,DGPT - Prodigy presents WACO,2023
65288,DGPT - The Open at Austin presented by Lone Star Disc,2023
65208,DGPT Elite - Music City Open presented by Lone Star Disc,2023
64955,PDGA Champions Cup Presented by Bushnell,2023
66458,DGPT - Play It Again Sports Jonesboro Open presented by Prodigy,2023
65207,DGPT - OTB Open presented by MVP Disc Sports,2023
69022,DGPT Elite+ 2023 Portland Open presented by Latitude 64,2023
65289,DGPT - Dynamic Discs Open,2023
67392,DGPT - The TruBank Des Moines Challenge presented by Discraft,2023
68353,DGPT - The Preserve Championship powered by Prodigy,2023
66511,2023 PDGA Professional Masters Disc Golf World Championships,2023
64036,DGPT - ET#6 - PCS Open 2023 presented by Innova,2023
67202,European Open 2023 presented by Discmania,2023
65115,DGPT - Discraft Ledgestone Open,2023
66174,DGPT - LWS Open at Idlewild presented by Dynamic Discs & The Nati,2023
65116,DGPT - Discraft Great Lakes Open,2023
68748,2023 PDGA Professional Disc Golf World Championships Presented by L.L.Bean,2023
65291,DGPT Playoffs - MVP Open presented by OTB,2023
74356,Disc Golf Pro Tour Championship presented by Barbasol,2023
77775,DGPT - Chess.com Invitational presented by Discraft,2024
77758,DGPT+ Prodigy presents WACO,2024
77759,DGPT - The Open at Austin presented by Flight Factory Discs,2024
77760,DGPT - Texas State Disc Golf Championships - presented by Lone Star Disc,2024
77761,DGPT - Play It Again Sports Jonesboro Open - presented by Westside Discs,2024
77762,DGPT - Music City Open presented by Lone Star Disc,2024
77099,2024 PDGA Champions Cup,2024
77763,DGPT - Dynamic Discs Open,2024
78193,DGPT - Copenhagen Open 2024,2024
77764,DGPT - OTB Open presented by MVP Disc Sports + WGE,2024
77765,DGPT+ 2024 Portland Open presented by Latitude64,2024
77766,DGPT - 2024 Beaver State Fling Presented by Innova,2024
77133,2024 PDGA Professional Masters Disc Golf World Championships,2024
78194,DGPT - Turku Open,2024
78271,DGPT - Preserve Championship,2024
78195,DGPT - Swedish Open presented by Kastaplast,2024
77768,DGPT - Trubank Des Moines Challenge Presented by DGA,2024
78196,DGPT - Krokhol Open,2024
77750,European Open 2024,2024
78197,DGPT - European Disc Golf Festival,2024
77769,DGPT+ Discraft's Ledgestone Open presented by GRIPeq,2024
77771,DGPT - LWS Open at Idlewild presented by Dynamic Discs & The Nati,2024
71315,2024 PDGA Professional Disc Golf World Championships,2024
77772,DGPT+ Discraft Great Lakes Open presented by Gerrit J Verburg,2024
